[2026-06-08T22:17:17.454Z] GET http://localhost:8765/index.html → 200 (6ms, 41847B)
[2026-06-08T22:17:17.465Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → pending (?ms, ?B)
[2026-06-08T22:17:17.465Z] GET http://localhost:8765/assets/site.css → 200 (7ms, 6305B)
[2026-06-08T22:17:17.466Z] GET http://localhost:8765/assets/site.js → 200 (7ms, 1987B)
[2026-06-08T22:17:17.863Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (223ms, 27272B)
[2026-06-08T22:17:48.053Z] GET http://localhost:8765/index.html → 200 (2ms, 41847B)
[2026-06-08T22:17:48.057Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:17:48.057Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6305B)
[2026-06-08T22:17:48.057Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:17:48.059Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:17:49.018Z] GET http://localhost:8765/index.html → 200 (?ms, 41847B)
[2026-06-08T22:17:49.020Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:17:49.021Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6305B)
[2026-06-08T22:17:49.021Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:17:49.022Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:18:13.927Z] GET http://localhost:8765/index.html → 200 (2ms, 41847B)
[2026-06-08T22:18:13.931Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:18:13.931Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6305B)
[2026-06-08T22:18:13.931Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:18:13.932Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:23:32.996Z] GET file:///tmp/logotest.html → 200 (3ms, 705B)
[2026-06-08T22:23:33.038Z] GET http://localhost:8765/assets/logo.png → 200 (35ms, 713560B)
[2026-06-08T22:23:33.038Z] GET http://localhost:8765/assets/favicon.png → 200 (34ms, 7322B)
[2026-06-08T22:25:21.110Z] GET http://localhost:8765/index.html → 200 (1ms, 42099B)
[2026-06-08T22:25:21.141Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:25:21.141Z] GET http://localhost:8765/assets/site.css → 200 (76ms, 6501B)
[2026-06-08T22:25:21.141Z] GET http://localhost:8765/assets/logo.png → 200 (77ms, 713560B)
[2026-06-08T22:25:21.141Z] GET http://localhost:8765/assets/site.js → 200 (77ms, 1987B)
[2026-06-08T22:25:21.220Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (29ms, 27272B)
[2026-06-08T22:25:21.276Z] GET http://localhost:8765/index.html → 200 (1ms, 42099B)
[2026-06-08T22:25:21.277Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (1ms, 8460B)
[2026-06-08T22:25:21.278Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6501B)
[2026-06-08T22:25:21.278Z] GET http://localhost:8765/assets/logo.png → 200 (?ms, 713560B)
[2026-06-08T22:25:21.278Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:25:21.279Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:25:22.199Z] GET http://localhost:8765/index.html → 200 (1ms, 42099B)
[2026-06-08T22:25:22.202Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:25:22.202Z] GET http://localhost:8765/assets/site.css → 200 (1ms, 6501B)
[2026-06-08T22:25:22.203Z] GET http://localhost:8765/assets/logo.png → 200 (?ms, 713560B)
[2026-06-08T22:25:22.203Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:25:22.204Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:25:23.107Z] GET http://localhost:8765/index.html → 200 (1ms, 42099B)
[2026-06-08T22:25:23.110Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:25:23.111Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6501B)
[2026-06-08T22:25:23.111Z] GET http://localhost:8765/assets/logo.png → 200 (?ms, 713560B)
[2026-06-08T22:25:23.111Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:25:23.111Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (1ms, ?B)
[2026-06-08T22:33:45.166Z] GET http://localhost:8765/index.html → 200 (2ms, 42137B)
[2026-06-08T22:33:45.171Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (1ms, 8460B)
[2026-06-08T22:33:45.172Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6720B)
[2026-06-08T22:33:45.172Z] GET http://localhost:8765/assets/logo-mark.png → 200 (?ms, 162328B)
[2026-06-08T22:33:45.172Z] GET http://localhost:8765/assets/logo.png → 304 (1ms, ?B)
[2026-06-08T22:33:45.172Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:33:45.174Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:33:45.211Z] GET http://localhost:8765/index.html → 200 (?ms, 42137B)
[2026-06-08T22:33:45.216Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (1ms, 8460B)
[2026-06-08T22:33:45.217Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6720B)
[2026-06-08T22:33:45.217Z] GET http://localhost:8765/assets/logo-mark.png → 200 (?ms, 162328B)
[2026-06-08T22:33:45.217Z] GET http://localhost:8765/assets/logo.png → 200 (?ms, 713560B)
[2026-06-08T22:33:45.217Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:33:45.218Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:33:46.125Z] GET http://localhost:8765/index.html → 200 (2ms, 42137B)
[2026-06-08T22:33:46.128Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:33:46.128Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6720B)
[2026-06-08T22:33:46.128Z] GET http://localhost:8765/assets/logo-mark.png → 200 (?ms, 162328B)
[2026-06-08T22:33:46.129Z] GET http://localhost:8765/assets/logo.png → 200 (?ms, 713560B)
[2026-06-08T22:33:46.129Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:33:46.130Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:33:47.042Z] GET http://localhost:8765/index.html → 200 (1ms, 42137B)
[2026-06-08T22:33:47.045Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:33:47.045Z] GET http://localhost:8765/assets/site.css → 200 (?ms, 6720B)
[2026-06-08T22:33:47.045Z] GET http://localhost:8765/assets/logo-mark.png → 200 (?ms, 162328B)
[2026-06-08T22:33:47.045Z] GET http://localhost:8765/assets/logo.png → 200 (1ms, 713560B)
[2026-06-08T22:33:47.046Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:33:47.047Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:36:39.230Z] GET http://localhost:8765/index.html → 200 (2ms, 42137B)
[2026-06-08T22:36:39.236Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (2ms, 8460B)
[2026-06-08T22:36:39.238Z] GET http://localhost:8765/assets/site.css → 200 (1ms, 6715B)
[2026-06-08T22:36:39.238Z] GET http://localhost:8765/assets/logo-mark.png → 304 (1ms, ?B)
[2026-06-08T22:36:39.238Z] GET http://localhost:8765/assets/logo.png → 304 (1ms, ?B)
[2026-06-08T22:36:39.238Z] GET http://localhost:8765/assets/site.js → 304 (2ms, ?B)
[2026-06-08T22:36:39.240Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:43:36.725Z] GET http://localhost:8765/index.html → 200 (2ms, 42137B)
[2026-06-08T22:43:36.731Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700;800&display=swap → 200 (?ms, 8460B)
[2026-06-08T22:43:36.732Z] GET http://localhost:8765/assets/site.css → 304 (?ms, ?B)
[2026-06-08T22:43:36.732Z] GET http://localhost:8765/assets/logo-mark.png → 200 (1ms, 117064B)
[2026-06-08T22:43:36.732Z] GET http://localhost:8765/assets/logo.png → 304 (?ms, ?B)
[2026-06-08T22:43:36.732Z] GET http://localhost:8765/assets/site.js → 200 (?ms, 1987B)
[2026-06-08T22:43:36.733Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (?ms, ?B)
[2026-06-08T22:43:36.766Z] GET http://localhost:8765/index.html → 200 (1ms, 42137B)
